metric,variance,baseline_mean,herding_mean,difference,t_statistic,p_value,significant_05,significant_01,cohens_d,effect_interpretation,n_baseline,n_herding
volatility,5,1.434053877146769,3.6861607570452777,2.2521068798985087,-312.7929324290938,8.124050877607293e-11,True,True,221.17800362783774,large,4,4
volatility,12,0.9749293915609303,3.660779357475242,2.685849965914312,-144.29552116772177,3.909539077257729e-07,True,True,102.03234151254308,large,4,4
volatility,20,0.8550443824388132,3.722669892736289,2.8676255102974757,-515.4923921182292,1.2668183547904905e-08,True,True,364.50816611687463,large,4,4
mean_herding_index,5,0.30266666666666664,0.9986666666666666,0.696,-738.2194795587498,1.011577034779548e-14,True,True,521.9999999999959,large,4,4
mean_herding_index,12,0.21133333333333332,0.994,0.7826666666666666,-129.64661161187036,7.55259969289236e-07,True,True,91.6739982286121,large,4,4
mean_herding_index,20,0.1793333333333333,0.9973333333333334,0.8180000000000001,-409.0000000000031,2.4539861910447073e-13,True,True,289.20667350530016,large,4,4
max_herding_index,5,1.0,1.0,0.0,,,False,False,,N/A,4,4
max_herding_index,12,0.6166666666666667,1.0,0.3833333333333333,-23.000000000000004,0.00018002781454780464,True,True,16.263455967290593,large,4,4
max_herding_index,20,0.6,1.0,0.4,-inf,0.0,True,True,,N/A,4,4
total_flash_events,5,2.25,49.0,46.75,-187.0,3.372106002837234e-07,True,True,132.22896808188437,large,4,4
total_flash_events,12,0.0,48.25,48.25,-64.33333333333333,8.275322985173e-06,True,True,45.490536256334565,large,4,4
total_flash_events,20,0.0,49.0,49.0,-inf,0.0,True,True,,N/A,4,4
mean_rel_deviation_pct,5,2.1412612926012686,4.309753344611973,2.1684920520107047,-246.83427781702193,2.5545264692895625e-08,True,True,174.5381916737004,large,4,4
mean_rel_deviation_pct,12,3.522251950458374,6.297288375397717,2.7750364249393433,-15.738906835849065,0.0005349180351471352,True,True,11.129087752092182,large,4,4
mean_rel_deviation_pct,20,4.195206639420745,6.459543596089404,2.264336956668659,-97.97506654030722,1.7455820476827037e-09,True,True,69.27883393785444,large,4,4
rmse,5,1.398732953018754,2.6780174758440176,1.2792845228252636,-295.88353108850265,9.977491813531151e-09,True,True,209.2212512741009,large,4,4
rmse,12,2.4099178148252127,3.9350241369411316,1.525106322115919,-11.118836259515524,0.001422667686646256,True,True,7.862204518006294,large,4,4
rmse,20,2.810668593074992,4.159038290125292,1.3483696970502996,-64.52300939398629,1.6505148567733586e-08,True,True,45.62465748505101,large,4,4
max_drawdown_pct,5,-18.520675596971444,-22.520107238605902,-3.999431641634459,59.47017343842643,1.0474450293057053e-05,True,True,-42.05176291665143,large,4,4
max_drawdown_pct,12,-11.813349084465443,-18.21817890712677,-6.404829822661327,6.241296435947023,0.008296567216934203,True,True,-4.413263033253571,large,4,4
max_drawdown_pct,20,-8.161857831685099,-17.191977077363898,-9.030119245678799,81.04522303841665,4.140478193725303e-06,True,True,-57.30762679324063,large,4,4
max_runup_pct,5,10.845706907682366,29.065743944636687,18.22003703695432,-inf,0.0,True,True,,N/A,4,4
max_runup_pct,12,10.007053626511519,29.802091535373826,19.795037908862305,-26.392462755810087,7.046076969472145e-05,True,True,18.662289386846705,large,4,4
max_runup_pct,20,8.744247205785635,20.76124567474049,12.016998468954855,-182.77854671280323,3.6111729559404324e-07,True,True,129.24394983604532,large,4,4
